,strings,mashing
225,equipped,0
226,critical,0
227,The,0
228,higher,0
229,the,0
230,the,0
231,more,0
232,damage,0
233,will,0
234,be,0
235,done,0
236,upon,0
237,a,0
238,critical,0
239,strike,0
240,Dagger,0
241,weapons,0
242,all,0
243,have,0
244,higher,0
245,critical,0
246,modifiers,0
247,then,0
248,all,0
249,other,0
250,Critical,0
251,strikes,0
252,are,0
253,backstabs,0
254,and,0
255,an,0
256,enemy,0
257,from,0
258,their,0
259,back,0
260,at,0
261,close,0
262,range,0
263,will,0
264,lead,0
265,to,0
266,a,0
267,powerful,0
268,backstab,0
269,Backstab,0
270,attacks,0
271,deal,0
272,a,0
273,huge,0
274,amount,0
275,of,0
276,so,0
277,always,0
278,worth,0
279,trying,0
280,to,0
281,The,0
282,attack,0
283,animation,0
284,lasts,0
285,for,0
286,a,0
287,short,0
288,but,0
289,invincible,0
290,while,0
291,in,0
292,the,0
293,Most,0
294,enemies,0
295,can,0
296,be,0
297,usually,0
298,humanoid,0
299,type,0
300,Some,0
301,unique,0
302,enemies,0
303,like,0
304,the,0
305,Fang,0
306,Boar,0
307,in,0
308,Undead,0
309,Parish,0
310,cannot,0
311,be,0
312,you,0
313,are,0
314,using,0
315,a,0
316,light,0
317,or,0
318,medium,0
319,shield,0
320,certain,0
321,types,0
322,of,0
323,weapon,0
324,equipped,0
325,in,0
326,the,0
327,left,0
328,you,0
329,can,0
330,parry,0
331,incoming,0
332,melee,0
333,attacks,0
334,by,0
335,pressing,0
336,or,0
337,the,0
338,Left,0
339,Trigger,0
340,Xbox,0
341,right,0
342,as,0
343,a,0
344,blow,0
345,is,0
346,about,0
347,to,0
348,land,0
349,and,0
350,hit,0
351,Most,0
352,heavier,0
353,shields,0
354,will,0
355,not,0
356,permit,0
357,you,0
358,to,0
359,parry,0
360,and,0
361,instead,0
362,will,0
363,activate,0
364,a,0
365,shield,0
366,so,0
367,make,0
368,sure,0
369,you,0
370,have,0
371,an,0
372,appropriate,0
373,shield,0
374,before,0
375,attempting,0
376,to,0
377,Successfully,0
378,doing,0
379,so,0
380,will,0
381,cancel,0
382,the,0
383,attack,0
384,and,0
385,cause,0
386,them,0
387,to,0
388,stagger,0
389,in,0
390,a,0
391,unique,0
392,animation,0
393,leaving,0
394,them,0
395,open,0
396,for,0
397,a,0
398,riposte,0
399,Parries,0
400,are,0
401,an,0
402,advanced,0
403,technique,0
404,and,0
405,hence,0
406,will,0
407,require,0
408,practice,0
409,to,0
410,and,0
411,there,0
412,are,0
413,points,0
414,one,0
415,should,0
416,note,0
417,to,0
418,understand,0
419,the,0
420,action,0
421,and,0
422,make,0
423,best,0
424,use,0
425,of,0
426,enemy,0
427,attacks,0
428,cannot,0
429,be,0
430,parried,0
431,for,0
432,some,0
433,two,0
434,handed,0
435,attacks,0
436,cannot,0
437,be,0
438,enemies,0
439,and,0
440,their,0
441,various,0
442,forms,0
443,of,0
444,melee,0
445,attack,0
446,have,0
447,different,0
448,sized,0
449,windows,0
450,of,0
451,opportunity,0
452,in,0
453,which,0
454,you,0
455,can,0
456,successfully,0
457,parry,0
458,speed,0
459,at,0
460,which,0
461,you,0
462,are,0
463,able,0
464,to,0
465,perform,0
466,the,0
467,parry,0
468,move,0
469,will,0
470,depend,0
471,on,0
472,the,0
473,shield,0
474,in,0
475,There,0
476,is,0
477,the,0
478,Fast,0
479,Parry,0
480,delivered,0
481,by,0
482,small,0
483,Special,0
484,Parry,0
485,delivered,0
486,by,0
487,the,0
488,Target,0
489,and,0
490,Parrying,0
491,and,0
492,standard,0
493,parry,0
494,delivered,0
495,by,0
496,every,0
497,other,0
498,form,0
499,of,0
500,If,0
501,you,0
502,fail,0
503,your,0
504,timing,0
505,you,0
506,will,0
507,be,0
508,left,0
509,wide,0
510,open,0
511,to,0
512,the,0
513,enemy,0
514,as,0
515,well,0
516,so,0
517,very,0
518,risky,0
519,to,0
520,try,0
521,it,0
522,on,0
523,powerful,0
524,slightly,0
525,out,0
526,of,0
527,time,0
528,or,0
529,attempting,0
530,to,0
531,parry,0
532,an,0
533,arrow,0
534,or,0
535,an,0
536,attack,0
537,that,0
538,be,0
539,parried,0
540,will,0
541,result,0
542,in,0
543,a,0
544,Partial,0
545,The,0
546,enemy,0
547,will,0
548,hit,0
549,you,0
550,but,0
551,part,0
552,of,0
553,the,0
554,damage,0
555,will,0
556,be,0
557,practicing,0
558,the,0
559,you,0
560,can,0
561,hold,0
562,down,0
563,the,0
564,block,0
565,button,0
566,and,0
567,press,0
568,the,0
569,parry,0
570,Parries,0
571,on,0
572,computer,0
573,enemies,0
574,are,0
575,generally,0
576,not,0
577,subject,0
578,to,0
579,lag,0
580,and,0
581,can,0
582,be,0
583,accomplished,0
584,based,0
585,on,0
586,visual,0
587,cues,0
588,tied,0
589,to,0
590,when,0
591,the,0
592,attack,0
593,is,0
594,about,0
595,to,0
596,strike,0
597,In,0
598,player,0
599,network,0
600,lag,0
601,can,0
602,make,0
603,parries,0
604,a,0
605,little,0
606,difficult,0
607,to,0
608,and,0
609,the,0
610,attempt,0
611,to,0
612,parry,0
613,must,0
614,often,0
615,be,0
616,made,0
617,before,0
618,your,0
619,opponent,0
620,even,0
621,begins,0
622,to,0
623,swing,0
624,least,0
625,from,0
626,what,0
627,you,0
628,see,0
629,on,0
630,your,0
631,due,0
632,to,0
633,the,0
634,These,0
635,are,0
636,usually,0
637,referred,0
638,to,0
639,as,0
640,where,0
641,you,0
642,parry,0
643,based,0
644,on,0
645,your,0
646,prediction,0
647,that,0
648,the,0
649,opponent,0
650,is,0
651,about,0
652,to,0
653,swing,0
654,at,0
655,Players,0
656,learning,0
657,how,0
658,to,0
659,parry,0
660,should,0
661,therefore,0
662,first,0
663,practice,0
664,the,0
665,basic,0
666,concepts,0
667,and,0
668,techniques,0
669,on,0
670,computer,0
671,with,0
672,the,0
673,understanding,0
674,that,0
675,learning,0
676,to,0
677,parry,0
678,other,0
679,players,0
680,is,0
681,an,0
682,even,0
683,more,0
684,challenging,0
685,and,0
686,advanced,0
687,successfully,0
688,parrying,0
689,an,0
690,enemy,0
691,signified,0
692,by,0
693,a,0
694,unique,0
695,sound,0
696,effect,0
697,and,0
698,the,0
699,sight,0
700,of,0
701,your,0
702,attacker,0
703,if,0
704,you,0
705,rapidly,0
706,follow,0
707,with,0
708,a,0
709,normal,0
710,attack,0
711,and,0
712,are,0
713,close,0
714,enough,0
715,to,0
716,the,0
717,a,0
718,riposte,0
719,will,0
720,be,0
721,Ripostes,0
722,are,0
723,even,0
724,deadlier,0
725,versions,0
726,of,0
727,critical,0
728,attacks,0
729,than,0
730,backstabs,0
731,and,0
732,can,0
733,easily,0
734,kill,0
735,enemies,0
736,in,0
737,one,0
738,Similar,0
739,to,0
740,the,0
741,riposte,0
742,animation,0
743,will,0
744,make,0
745,you,0
746,invulnerable,0
747,for,0
748,a,0
749,brief,0
750,period,0
751,of,0
752,which,0
753,can,0
754,be,0
755,invaluable,0
756,if,0
757,you,0
758,are,0
759,facing,0
760,multiple,0
761,you,0
762,are,0
763,subjected,0
764,to,0
765,a,0
766,status,0
767,attack,0
768,a,0
769,status,0
770,bar,0
771,will,0
772,appear,0
773,on,0
774,the,0
775,bottom,0
776,of,0
777,the,0
778,screen,0
779,and,0
780,begin,0
781,to,0
782,The,0
783,size,0
784,of,0
785,the,0
786,bar,0
787,is,0
788,tied,0
789,to,0
790,your,0
791,resistance,0
792,to,0
793,the,0
794,aliment,0
795,being,0
796,If,0
797,the,0
798,bar,0
799,completely,0
800,fills,0
801,you,0
802,will,0
803,suffer,0
804,the,0
805,effect,0
806,of,0
807,the,0
808,The,0
809,bar,0
810,will,0
811,slowly,0
812,recover,0
813,so,0
814,long,0
815,as,0
816,you,0
817,are,0
818,not,0
819,being,0
820,affected,0
821,by,0
822,the,0
823,status,0
824,so,0
825,if,0
826,for,0
827,example,0
828,you,0
829,are,0
830,facing,0
831,poisonous,0
832,terrain,0
833,with,0
834,various,0
835,islands,0
836,of,0
837,clear,0
838,you,0
839,can,0
840,wait,0
841,on,0
842,each,0
843,patch,0
844,of,0
845,dry,0
846,land,0
847,for,0
848,your,0
849,poison,0
850,status,0
851,bar,0
852,to,0
853,recover,0
854,before,0
855,continuing,0
856,and,0
857,thereby,0
858,avoid,0
859,being,0
860,Most,0
861,of,0
862,the,0
863,below,0
864,aliments,0
865,are,0
866,more,0
867,commonly,0
868,encountered,0
869,when,0
870,facing,0
871,computer,0
872,enemies,0
873,and,0
874,environmental,0
875,but,0
876,there,0
877,are,0
878,some,0
879,items,0
880,that,0
881,enable,0
882,players,0
883,to,0
884,inflicted,0
885,status,0
886,effects,0
887,on,0
888,one,0
889,other,0
890,the,0
891,exception,0
892,of,0
893,Deals,0
894,damage,0
895,over,0
896,time,0
897,for,0
898,its,0
899,duration,0
900,and,0
901,cuts,0
902,all,0
903,healing,0
904,in,0
905,While,0
906,the,0
907,damage,0
908,over,0
909,time,0
910,especially,0
911,as,0
912,a,0
913,low,0
914,the,0
915,heal,0
916,cut,0
917,can,0
918,be,0
919,life,0
920,Deals,0
921,very,0
922,high,0
923,damage,0
924,over,0
925,If,0
926,left,0
927,it,0
928,can,0
929,easily,0
930,kill,0
931,the,0
932,player,0
933,in,0
934,less,0
935,than,0
936,Cure,0
937,it,0
938,as,0
939,soon,0
940,as,0
941,Instantly,0
942,kills,0
943,the,0
944,player,0
945,and,0
946,cuts,0
947,the,0
948,remaining,0
949,HP,0
950,in,0
951,half,0
952,after,0
953,the,0
954,player,0
955,returns,0
956,to,0
957,their,0
958,previous,0
959,As,0
960,of,0
961,patch,0
962,Curse,0
963,stack,0
964,may,0
965,get,0
966,cursed,0
967,while,0
968,but,0
969,your,0
970,HP,0
971,be,0
972,halved,0
973,If,0
974,your,0
975,best,0
976,option,0
977,is,0
978,to,0
979,seek,0
980,a,0
981,cure,0
982,The,0
983,HP,0
984,reduction,0
985,only,0
986,affects,0
987,standard,0
988,HP,0
989,gained,0
990,from,0
991,be,0
992,Curse,0
993,may,0
994,be,0
995,cured,0
996,by,0
997,a,0
998,Purging,0
999,Stone,0
1000,or,0
1001,by,0
1002,an,0
1003,NPC,0
1004,named,0
1005,Ingward,0
1006,located,0
1007,deep,0
1008,in,0
1009,the,0
1010,New,0
1011,Londo,0
1012,It,0
1013,is,0
1014,wise,0
1015,to,0
1016,always,0
1017,carry,0
1018,a,0
1019,few,0
1020,Purging,0
1021,as,0
1022,being,0
1023,cursed,0
1024,can,0
1025,make,0
1026,it,0
1027,difficult,0
1028,to,0
1029,return,0
1030,to,0
1031,a,0
1032,vendor,0
1033,or,0
1034,Ingward,0
1035,if,0
1036,you,0
1037,do,0
1038,not,0
1039,have,0
1040,a,0
1041,cure,0
1042,Bleeding,0
1043,deals,0
1044,medium,0
1045,instant,0
1046,This,0
1047,damage,0
1048,ignores,0
1049,armor,0
1050,and,0
1051,goes,0
1052,straight,0
1053,to,0
1054,the,0
1055,Fast,0
1056,attacking,0
1057,weapons,0
1058,like,0
1059,Knife,0
1060,or,0
1061,Katanas,0
1062,can,0
1063,easily,0
1064,inflict,0
1065,bleeding,0
1066,effects,0
1067,in,0
1068,one,0
1069,Prevent,0
1070,constant,0
1071,hits,0
1072,to,0
1073,avoid,0
1074,taking,0
1075,this,0
1076,When,0
1077,the,0
1078,Bleeding,0
1079,gauge,0
1080,is,0
1081,it,0
1082,takes,0
1083,of,0
1084,your,0
1085,maximum,0
1086,and,0
1087,sometimes,0
1088,if,0
1089,a,0
1090,special,0
1091,weapon,0
1092,is,0
1093,A,0
1094,very,0
1095,important,0
1096,statistic,0
1097,which,0
1098,determines,0
1099,your,0
1100,ability,0
1101,to,0
1102,resist,0
1103,having,0
1104,your,0
1105,namely,0
1106,having,0
1107,your,0
1108,own,0
1109,actions,0
1110,interrupted,0
1111,when,0
1112,you,0
1113,are,0
1114,struck,0
1115,by,0
1116,an,0
1117,With,0
1118,low,0
1119,you,0
1120,will,0
1121,be,0
1122,more,0
1123,easily,0
1124,sometimes,0
1125,staggered,0
1126,when,0
1127,struck,0
1128,by,0
1129,an,0
1130,which,0
1131,can,0
1132,interrupt,0
1133,your,0
1134,own,0
1135,attack,0
1136,or,0
1137,spell,0
1138,and,0
1139,possibly,0
1140,subject,0
1141,you,0
1142,to,0
1143,a,0
1144,fatal,0
1145,if,0
1146,your,0
1147,opponent,0
1148,has,0
1149,sufficient,0
1150,stamina,0
1151,and,0
1152,speed,0
1153,to,0
1154,keep,0
1155,hitting,0
1156,you,0
1157,and,0
1158,preventing,0
1159,you,0
1160,from,0
1161,Working,0
1162,like,0
1163,other,0
1164,Status,0
1165,there,0
1166,is,0
1167,a,0
1168,invisible,0
1169,bar,0
1170,that,0
1171,fills,0
1172,with,0
1173,the,0
1174,attacks,0
1175,you,0
1176,receive,0
1177,strength,0
1178,of,0
1179,the,0
1180,attack,0
1181,changes,0
1182,how,0
1183,much,0
1184,it,0
1185,and,0
1186,when,0
1187,filled,0
1188,you,0
1189,will,0
1190,be,0
1191,staggered,0
1192,by,0
1193,the,0
1194,Small,0
1195,weapons,0
1196,like,0
1197,daggers,0
1198,are,0
1199,greatly,0
1200,affected,0
1201,by,0
1202,Poise,0
1203,as,0
1204,they,0
1205,will,0
1206,rarely,0
1207,stagger,0
1208,an,0
1209,while,0
1210,great,0
1211,swords,0
1212,and,0
1213,other,0
1214,big,0
1215,weapons,0
1216,are,0
1217,mostly,0
1218,unaffected,0
1219,by,0
1220,it,0
1221,as,0
1222,a,0
1223,single,0
1224,strike,0
1225,will,0
1226,be,0
1227,able,0
1228,to,0
1229,stagger,0
1230,foes,0
1231,even,0
1232,with,0
1233,high,0
1234,Poise,0
1235,is,0
1236,affected,0
1237,by,0
1238,your,0
1239,equipped,0
1240,and,0
1241,also,0
1242,by,0
1243,the,0
1244,Wolf,0
1245,Each,0
1246,wearable,0
1247,item,0
1248,has,0
1249,a,0
1250,Poise,0
1251,rating,0
1252,which,0
1253,may,0
1254,be,0
1255,viewed,0
1256,in,0
1257,its,0
1258,Your,0
1259,overall,0
1260,Poise,0
1261,which,0
1262,may,0
1263,be,0
1264,viewed,0
1265,in,0
1266,the,0
1267,upper,0
1268,right,0
1269,hand,0
1270,corner,0
1271,of,0
1272,your,0
1273,Character,0
1274,information,0
1275,is,0
1276,the,0
1277,sum,0
1278,of,0
1279,all,0
1280,the,0
1281,Poise,0
1282,ratings,0
1283,of,0
1284,your,0
1285,As,0
1286,a,0
1287,general,0
1288,rule,0
1289,of,0
1290,light,0
1291,gear,0
1292,has,0
1293,while,0
1294,heavy,0
1295,armor,0
1296,often,0
1297,provides,0
1298,significant,0
1299,Many,0
1300,players,0
1301,seek,0
1302,to,0
1303,have,0
1304,at,0
1305,least,0
1306,poise,0
1307,to,0
1308,ensure,0
1309,they,0
1310,cannot,0
1311,be,0
1312,staggered,0
1313,by,0
1314,the,0
1315,first,0
1316,attack,0
1317,of,0
1318,all,0
1319,but,0
1320,the,0
1321,heaviest,0
1322,of,0
1323,while,0
1324,a,0
1325,poise,0
1326,of,0
1327,should,0
1328,prevent,0
1329,a,0
1330,player,0
1331,from,0
1332,being,0
1333,stunned,0
1334,by,0
1335,the,0
1336,first,0
1337,attack,0
1338,of,0
1339,any,0
1340,including,0
1341,ultra,0
1342,Even,0
1343,with,0
1344,very,0
1345,high,0
1346,it,0
1347,is,0
1348,still,0
1349,possible,0
1350,to,0
1351,be,0
1352,staggered,0
1353,or,0
1354,even,0
1355,knocked,0
1356,down,0
1357,by,0
1358,certain,0
1359,magical,0
1360,attacks,0
1361,or,0
1362,other,0
1363,is,0
1364,required,0
1365,for,0
1366,the,0
1367,majority,0
1368,of,0
1369,the,0
1370,weapons,0
1371,to,0
1372,It,0
1373,is,0
1374,a,0
1375,weapon,0
1376,damage,0
1377,modifier,0
1378,and,0
1379,controls,0
1380,the,0
1381,Attack,0
1382,Power,0
1383,that,0
1384,increase,0
1385,your,0
1386,damage,0
1387,output,0
1388,for,0
1389,weapons,0
1390,that,0
1391,has,0
1392,strength,0
1393,More,0
1394,strength,0
1395,points,0
1396,is,0
1397,required,0
1398,for,0
1399,larger,0
1400,and,0
1401,heavier,0
1402,weapons,0
1403,to,0
1404,Strength,0
1405,does,0
1406,NOT,0
1407,affect,0
1408,your,0
1409,weapon,0
1410,swing,0
1411,weapons,0
1412,require,0
1413,a,0
1414,minimum,0
1415,strength,0
1416,level,0
1417,to,0
1418,be,0
1419,wielded,0
1420,the,0
1421,weapon,0
1422,will,0
1423,give,0
1424,a,0
1425,strength,0
1426,affecting,0
1427,both,0
1428,the,0
1429,weapon,0
1430,requirements,0
1431,and,0
1432,damage,0
1433,you,0
1434,do,0
1435,not,0
1436,meet,0
1437,the,0
1438,minimum,0
1439,strength,0
1440,the,0
1441,weapon,0
1442,damage,0
1443,is,0
1444,decreased,0
1445,and,0
1446,the,0
1447,moveset,0
1448,is,0
1449,altered,0
1450,to,0
1451,a,0
1452,single,0
1453,slow,0
1454,is,0
1455,the,0
1456,only,0
1457,stat,0
1458,that,0
1459,affects,0
1460,the,0
1461,but,0
1462,not,0
1463,meeting,0
1464,the,0
1465,Intelligence,0
1466,or,0
1467,Faith,0
1468,requirements,0
1469,of,0
1470,the,0
1471,weapon,0
1472,will,0
1473,make,0
1474,it,0
1475,rebound,0
1476,upon,0
1477,and,0
1478,also,0
1479,decrease,0
1480,the,0
1481,is,0
1482,especially,0
1483,useful,0
1484,for,0
1485,Ultra,0
1486,Axes,0
1487,and,0
1488,Great,0
1489,Hammers,0
1490,and,0
1491,Great,0
1492,an,0
1493,statistic,0
1494,that,0
1495,increases,0
1496,your,0
1497,resistance,0
1498,to,0
1499,being,0
1500,staggered,0
1501,or,0
1502,as,0
1503,an,0
1504,effect,0
1505,of,0
1506,taking,0
1507,hits,0
1508,from,0
1509,an,0
1510,attack,0
1511,interrupts,0
1512,your,0
1513,High,0
1514,poise,0
1515,will,0
1516,allow,0
1517,you,0
1518,to,0
1519,perform,0
1520,an,0
1521,action,0
1522,to,0
1523,completion,0
1524,despite,0
1525,being,0
1526,hit,0
1527,by,0
1528,enemies,0
1529,in,0
1530,their,0
1531,course,0
1532,swinging,0
1533,a,0
1534,slow,0
1535,or,0
1536,casting,0
1537,an,0
1538,attacks,0
1539,causes,0
1540,you,0
1541,to,0
1542,temporarily,0
1543,be,0
1544,leaving,0
1545,you,0
1546,vulnerable,0
1547,to,0
1548,consecutive,0
1549,Poise,0
1550,will,0
1551,allow,0
1552,you,0
1553,to,0
1554,soak,0
1555,up,0
1556,heavier,0
1557,hits,0
1558,and,0
1559,increase,0
1560,the,0
1561,number,0
1562,of,0
1563,consecutive,0
1564,hits,0
1565,you,0
1566,can,0
1567,take,0
1568,before,0
1569,getting,0
1570,is,0
1571,a,0
1572,passive,0
1573,trait,0
1574,that,0
1575,is,0
1576,raised,0
1577,by,0
1578,wearing,0
1579,armor,0
1580,that,0
1581,gives,0
1582,you,0
1583,equiping,0
1584,the,0
1585,Wolf,0
1586,casting,0
1587,Iron,0
1588,Flesh,0
1589,using,0
1590,the,0
1591,Greatshield,0
1592,stoneskin,0
1593,that,0
1594,both,0
1595,Iron,0
1596,Flesh,0
1597,and,0
1598,the,0
1599,stoneskin,0
1600,buff,0
1601,are,0
1602,personal,0
1603,buffs,0
1604,and,0
1605,cannot,0
1606,be,0
1607,used,0
1608,in,0
1609,as,0
1610,the,0
1611,maximum,0
1612,value,0
1613,of,0
1614,an,0
1615,invisible,0
1616,Whenever,0
1617,hit,0
1618,by,0
1619,an,0
1620,that,0
1621,has,0
1622,an,0
1623,invisible,0
1624,which,0
1625,decreases,0
1626,your,0
1627,poise,0
1628,bar,0
1629,by,0
1630,that,0
1631,Consecutively,0
1632,receiving,0
1633,attacks,0
1634,will,0
1635,continue,0
1636,to,0
1637,decrease,0
1638,the,0
1639,bar,0
1640,When,0
1641,it,0
1642,hits,0
1643,your,0
1644,character,0
1645,will,0
1646,most,0
1647,important,0
1648,breakpoints,0
1649,are,0
1650,to,0
1651,take,0
1652,all,0
1653,the,0
1654,quickest,0
1655,or,0
1656,to,0
1657,take,0
1658,one,0
1659,of,0
1660,all,0
1661,the,0
1662,most,0
1663,dangerous,0
1664,attacks,0
1665,for,0
1666,Black,0
1667,and,0
1668,to,0
1669,take,0
1670,an,0
1671,attack,0
1672,which,0
1673,deals,0
1674,poise,0
1675,Breakpoints,0
1676,are,0
1677,highly,0
1678,dependent,0
1679,on,0
1680,what,0
1681,build,0
1682,one,0
1683,is,0
1684,As,0
1685,an,0
1686,there,0
1687,is,0
1688,no,0
1689,immediate,0
1690,reason,0
1691,to,0
1692,use,0
1693,poise,0
1694,against,0
1695,a,0
1696,Quality,0
1697,build,0
1698,and,0
1699,which,0
1700,may,0
1701,use,0
1702,a,0
1703,Murakumo,0
1704,or,0
1705,a,0
1706,poise,0
1707,would,0
1708,take,0
1709,a,0
1710,single,0
1711,light,0
1712,attack,0
1713,of,0
1714,However,0
1715,those,0
1716,builds,0
1717,are,0
1718,capable,0
1719,of,0
1720,swapping,0
1721,to,0
1722,a,0
1723,Spear,0
1724,or,0
1725,Curved,0
1726,against,0
1727,which,0
1728,poise,0
1729,would,0
1730,give,0
1731,a,0
1732,significant,0
1733,and,0
1734,having,0
1735,invested,0
1736,into,0
1737,getting,0
1738,instead,0
1739,of,0
1740,poise,0
1741,will,0
1742,instead,0
1743,be,0
1744,a,0
1745,staggered,0
1746,is,0
1747,a,0
1748,very,0
1749,serious,0
1750,and,0
1751,can,0
1752,become,0
1753,very,0
1754,difficult,0
1755,when,0
1756,surrounded,0
1757,by,0
1758,numerous,0
1759,staggered,0
1760,means,0
1761,that,0
1762,you,0
1763,will,0
1764,not,0
1765,be,0
1766,able,0
1767,to,0
1768,control,0
1769,your,0
1770,character,0
1771,after,0
1772,taking,0
1773,a,0
1774,heavy,0
1775,blow,0
1776,from,0
1777,an,0
1778,should,0
1779,also,0
1780,be,0
1781,important,0
1782,to,0
1783,remember,0
1784,that,0
1785,two,0
1786,handing,0
1787,a,0
1788,single,0
1789,weapon,0
1790,increases,0
1791,the,0
1792,poise,0
1793,break,0
1794,damage,0
1795,and,0
1796,can,0
1797,be,0
1798,used,0
1799,to,0
1800,stagger,0
1801,opponents,0
1802,that,0
1803,some,0
1804,attacks,0
1805,cause,0
1806,instant,0
1807,and,0
1808,is,0
1809,not,0
1810,dependent,0
1811,on,0
1812,your,0
1813,Poise,0
1814,Break,0
1815,has,0
1816,been,0
1817,found,0
1818,that,0
1819,certain,0
1820,weapon,0
1821,classes,0
1822,will,0
1823,stun,0
1824,people,0
1825,at,0
1826,very,0
1827,specific,0
1828,poise,0
1829,For,0
1830,example,0
1831,Ultra,0
1832,Greatswords,0
1833,when,0
1834,used,0
1835,will,0
1836,stun,0
1837,anyone,0
1838,at,0
1839,poise,0
1840,or,0
1841,So,0
1842,a,0
1843,poise,0
1844,of,0
1845,will,0
1846,prevent,0
1847,you,0
1848,being,0
1849,stunlocked,0
1850,by,0
1851,a,0
1852,hit,0
1853,from,0
1854,an,0
1855,However,0
1856,these,0
1857,values,0
1858,will,0
1859,only,0
1860,save,0
1861,you,0
1862,from,0
1863,If,0
1864,you,0
1865,are,0
1866,hit,0
1867,again,0
1868,before,0
1869,your,0
1870,empties,0
1871,completely,0
1872,you,0
1873,will,0
1874,be,0
1875,time,0
1876,a,0
1877,hit,0
1878,is,0
1879,poise,0
1880,will,0
1881,reduce,0
1882,and,0
1883,remain,0
1884,briefly,0
1885,frozen,0
1886,at,0
1887,the,0
1888,latest,0
1889,value,0
1890,does,0
1891,not,0
1892,regenerate,0
1893,steadily,0
1894,like,0
1895,This,0
1896,means,0
1897,that,0
1898,if,0
1899,a,0
1900,player,0
1901,with,0
1902,poise,0
1903,gets,0
1904,hit,0
1905,by,0
1906,an,0
1907,attack,0
1908,that,0
1909,drains,0
1910,the,0
1911,player,0
1912,will,0
1913,then,0
1914,have,0
1915,exactly,0
1916,poise,0
1917,for,0
1918,the,0
1919,next,0
1920,few,0
1921,A,0
1922,hidden,0
1923,timer,0
1924,is,0
1925,triggered,0
1926,with,0
1927,each,0
1928,hit,0
1929,that,0
1930,is,0
1931,and,0
1932,if,0
1933,it,0
1934,completes,0
1935,before,0
1936,another,0
1937,hit,0
1938,is,0
1939,poise,0
1940,will,0
1941,instantly,0
1942,refill,0
1943,back,0
1944,to,0
1945,world,0
1946,of,0
1947,Dark,0
1948,Souls,0
1949,is,0
1950,a,0
1951,world,0
1952,of,0
1953,Kingdoms,0
1954,rise,0
1955,and,0
1956,ages,0
1957,come,0
1958,and,0
1959,and,0
1960,even,0
1961,time,0
1962,can,0
1963,end,0
1964,and,0
1965,restart,0
1966,as,0
1967,the,0
1968,flame,0
1969,fades,0
1970,and,0
1971,is,0
1972,These,0
1973,cycles,0
1974,are,0
